ACCOUNT TRANSACTION HISTORY

Name:, Piet, Pompies
Account:, 12345678901, [Main Account]
Balance:, 8423.56, 8420.56

Date, Amount, Balance, Description
2023/03/31, -125.50, 8423.56, WEEKEND SHOPPING MALL  SHOPPING MALL ZA
2023/03/30, -67.80, 8549.06, FOOD DELIVERY APP      g.co/helppay#US
2023/03/29, -45.99, 8616.86, ONLINE SUBSCRIPTION    g.co/helppay#US
2023/03/28, -78.90, 8662.85, CONVENIENCE STORE      DOWNTOWN    ZA
2023/03/27, -145.50, 8741.75, HOME SUPPLIES         INDUSTRIAL AREA ZA
2023/03/26, -98.80, 8887.25, FAMILY RESTAURANT      WATERFRONT  ZA
2023/03/25, -35.45, 8986.05, COFFEE HOUSE PREMIUM   BUSINESS DIST ZA
2023/03/24, 450.00, 9021.50, BANK TRANSFER          ABC COMPANY
2023/03/23, -175.90, 8571.50, DEPARTMENT STORE      SHOPPING MALL ZA
2024/03/22, -800.00, 8747.40, Top up credit card
2023/03/22, -150.00, 9547.40, ELECTRICITY 08001234567
2023/03/22, -500.00, 9697.40, Top up credit card
2023/03/21, -85.50, 10197.40, LocalMart Downtown     Downtown    ZA
2023/03/21, -45.25, 10282.90, Coffee Shop Central     Central City ZA
2023/03/20, -3.50, 10328.15, #VALUE ADDED SERV FEES
2023/03/20, -75.00, 10331.65, #MONTHLY ACCOUNT FEE
2023/03/20, -200.00, 10406.65, Top up credit card
2023/03/19, -42.99, 10606.65, NETFLIX SUBSCRIPTION   g.co/helppay#US
2023/03/19, -56.75, 10649.64, FoodMart Express       Suburb      ZA
2023/03/18, -1000.00, 10706.39, Top up credit card
2023/03/18, -125.60, 11706.39, Fuel Station Downtown  Downtown   ZA
2023/03/17, -78.50, 11831.99, PASTA PALACE           CENTRAL CITY ZA
2023/03/16, -35.00, 11910.49, URBAN PARKING          DOWNTOWN    ZA
2023/03/15, -165.75, 11945.49, HARDWARE STORE         INDUSTRIAL AREA ZA
2023/03/14, -85.90, 12111.24, SUSHI EXPRESS          WATERFRONT  ZA
2023/03/13, 92.45, 12197.14, 92.45 ONLINE STORE *DIGIT 123456*7890  03 MAR
2023/03/13, -750.00, 12104.69, Top up credit card
2023/03/12, -12.00, 12854.69, PARKING SERVICES LTD   DOWNTOWN    ZA
2023/03/11, -95.50, 12866.69, BURGER JOINT CENTRAL   CENTRAL CITY ZA
2023/03/10, -650.00, 12962.19, OFFICE SUPPLIES
2023/03/09, -78.50, 13612.19, PHARMACY PLUS          MEDICAL DISTRICT ZA
2023/03/08, -145.75, 13690.69, BOOKSTORE CENTRAL     DOWNTOWN    ZA
2023/03/07, -38.90, 13836.44, COFFEE HOUSE           SUBURBS     ZA
2023/03/06, -125.45, 13875.34, ELECTRONICS STORE     SHOPPING MALL ZA
2023/03/05, -800.00, 14000.79, Top up credit card
2023/03/04, -699.00, 14800.79, Internet Provider      123456*7890  01 MAR
2023/03/04, -85.30, 15499.79, ITALIAN RESTAURANT     HARBOR VIEW ZA
2023/03/03, -100.00, 15585.09, ATM CASH     00012345 123456*7890
2023/03/03, -55.75, 15685.09, QUICK MART             DOWNTOWN    ZA
2023/03/02, -32.50, 15740.84, https://www.rideshare.com CENTRAL CITY ZA
2023/03/01, -1245.67, 15773.34, INSURANCE   INV123456   XYZ123AB
2023/03/01, -250.00, 17019.01, FITCLUB123456789 PAYMENT
2023/03/01, -1089.00, 17269.01, HEALTH INSURANCE 0001234567-987654321
2023/03/01, -500.00, 18358.01, Top up credit card
2023/03/01, 20750.25, 18858.01, BANK TRANSFER          COMPANY SALARY
