ACCOUNT TRANSACTION HISTORY

Name:, John, Smith
Account:, 12345678901, [Main Account]
Balance:, 2500.00, 2500.00

Date, Amount, Balance, Description
2023/04/30, -50.00, 2500.00, COFFEE SHOP
2023/04/29, -120.00, 2550.00, WOOLWORTHS FOOD SANDTON
2023/04/28, -120.50, 2670.00, PICK N PAY ROSEBANK
2023/04/27, -350.00, 2790.50, TAKEALOT.COM
2023/04/26, 500.00, 3140.50, BIRTHDAY MONEY FROM MOM
2023/04/25, -35.99, 2640.50, SHOWMAX SUBSCRIPTION
2023/04/22, -85.45, 2676.49, NANDOS WATERFRONT
2023/04/20, -75.00, 2761.94, MONTHLY ACCOUNT FEE
2023/04/18, -195.00, 2836.94, ENGEN PETROL STATION
2023/04/15, -200.00, 3031.94, STEERS SANDTON CITY
2023/04/12, -250.00, 3231.94, ELECTRICITY 07812345678
2023/04/10, -500.00, 3481.94, RENT PAYMENT
2023/04/08, -185.00, 3981.94, CLICKS PHARMACY
2023/04/05, -85.75, 4166.94, SPUR STEAK RANCH
2023/04/03, -150.00, 4252.69, VODACOM AIRTIME
2023/04/01, 4837.00, 4402.69, SALARY DEPOSIT
